Province/State,Country/Region,Lat,Long,Date,Total,Tweet
,Albania,41.1533,20.1683,3/18/2020,59,
,Albania,41.1533,20.1683,3/17/2020,55,
,Albania,41.1533,20.1683,3/16/2020,51,
,Albania,41.1533,20.1683,3/15/2020,42,
,Albania,41.1533,20.1683,3/14/2020,38,
,Albania,41.1533,20.1683,3/13/2020,33,
,Albania,41.1533,20.1683,3/12/2020,23,
,Albania,41.1533,20.1683,3/11/2020,12,
,Albania,41.1533,20.1683,3/10/2020,10,
,Albania,41.1533,20.1683,3/9/2020,2,
,Albania,41.1533,20.1683,3/8/2020,0,
,Albania,41.1533,20.1683,3/7/2020,0,
,Albania,41.1533,20.1683,3/6/2020,0,
,Albania,41.1533,20.1683,3/5/2020,0,
,Albania,41.1533,20.1683,3/4/2020,0,
,Albania,41.1533,20.1683,3/3/2020,0,
,Albania,41.1533,20.1683,3/2/2020,0,
,Albania,41.1533,20.1683,3/1/2020,0,
,Albania,41.1533,20.1683,2/29/2020,0,
,Albania,41.1533,20.1683,2/28/2020,0,
,Albania,41.1533,20.1683,2/27/2020,0,
,Albania,41.1533,20.1683,2/26/2020,0,
,Albania,41.1533,20.1683,2/25/2020,0,
,Albania,41.1533,20.1683,2/24/2020,0,
,Albania,41.1533,20.1683,2/23/2020,0,
,Albania,41.1533,20.1683,2/22/2020,0,
,Albania,41.1533,20.1683,2/21/2020,0,
,Albania,41.1533,20.1683,2/20/2020,0,
,Albania,41.1533,20.1683,2/19/2020,0,
,Albania,41.1533,20.1683,2/18/2020,0,
,Albania,41.1533,20.1683,2/17/2020,0,
,Albania,41.1533,20.1683,2/16/2020,0,
,Albania,41.1533,20.1683,2/15/2020,0,
,Albania,41.1533,20.1683,2/14/2020,0,
,Albania,41.1533,20.1683,2/13/2020,0,
,Albania,41.1533,20.1683,2/12/2020,0,
,Albania,41.1533,20.1683,2/11/2020,0,
,Albania,41.1533,20.1683,2/10/2020,0,
,Albania,41.1533,20.1683,2/9/2020,0,
,Albania,41.1533,20.1683,2/8/2020,0,
,Albania,41.1533,20.1683,2/7/2020,0,
,Albania,41.1533,20.1683,2/6/2020,0,
,Albania,41.1533,20.1683,2/5/2020,0,
,Albania,41.1533,20.1683,2/4/2020,0,
,Albania,41.1533,20.1683,2/3/2020,0,
,Albania,41.1533,20.1683,2/2/2020,0,
,Albania,41.1533,20.1683,2/1/2020,0,
,Albania,41.1533,20.1683,1/31/2020,0,
,Albania,41.1533,20.1683,1/30/2020,0,
,Albania,41.1533,20.1683,1/29/2020,0,
,Albania,41.1533,20.1683,1/28/2020,0,
,Albania,41.1533,20.1683,1/27/2020,0,
,Albania,41.1533,20.1683,1/26/2020,0,
,Albania,41.1533,20.1683,1/25/2020,0,
,Albania,41.1533,20.1683,1/24/2020,0,
,Albania,41.1533,20.1683,1/23/2020,0,
,Albania,41.1533,20.1683,1/22/2020,0,
,Algeria,28.0339,1.6596,3/24/2020,264,
,Algeria,28.0339,1.6596,3/23/2020,230,
,Algeria,28.0339,1.6596,3/22/2020,201,
,Algeria,28.0339,1.6596,3/21/2020,139,
,Algeria,28.0339,1.6596,3/20/2020,90,
,Algeria,28.0339,1.6596,3/19/2020,87,
,Algeria,28.0339,1.6596,3/18/2020,74,
,Algeria,28.0339,1.6596,3/17/2020,60,
,Algeria,28.0339,1.6596,3/16/2020,54,
,Algeria,28.0339,1.6596,3/15/2020,48,
,Algeria,28.0339,1.6596,3/14/2020,37,
,Algeria,28.0339,1.6596,3/13/2020,26,
,Algeria,28.0339,1.6596,3/12/2020,24,
,Algeria,28.0339,1.6596,3/11/2020,20,
,Algeria,28.0339,1.6596,3/10/2020,20,
,Algeria,28.0339,1.6596,3/9/2020,20,
,Algeria,28.0339,1.6596,3/8/2020,19,
,Algeria,28.0339,1.6596,3/7/2020,17,
,Algeria,28.0339,1.6596,3/6/2020,17,
,Algeria,28.0339,1.6596,3/5/2020,12,
,Algeria,28.0339,1.6596,3/4/2020,12,
,Algeria,28.0339,1.6596,3/3/2020,5,
,Algeria,28.0339,1.6596,3/2/2020,3,
,Algeria,28.0339,1.6596,3/1/2020,1,
,Algeria,28.0339,1.6596,2/29/2020,1,
,Algeria,28.0339,1.6596,2/28/2020,1,
,Algeria,28.0339,1.6596,2/27/2020,1,
,Algeria,28.0339,1.6596,2/26/2020,1,
,Algeria,28.0339,1.6596,2/25/2020,1,
,Algeria,28.0339,1.6596,2/24/2020,0,
,Algeria,28.0339,1.6596,2/23/2020,0,
,Algeria,28.0339,1.6596,2/22/2020,0,
,Algeria,28.0339,1.6596,2/21/2020,0,
,Algeria,28.0339,1.6596,2/20/2020,0,
,Algeria,28.0339,1.6596,2/19/2020,0,
,Algeria,28.0339,1.6596,2/18/2020,0,
,Algeria,28.0339,1.6596,2/17/2020,0,
,Algeria,28.0339,1.6596,2/16/2020,0,
,Algeria,28.0339,1.6596,2/15/2020,0,
,Algeria,28.0339,1.6596,2/14/2020,0,
,Algeria,28.0339,1.6596,2/13/2020,0,
,Algeria,28.0339,1.6596,2/12/2020,0,
,Algeria,28.0339,1.6596,2/11/2020,0,
,Algeria,28.0339,1.6596,2/10/2020,0,
,Algeria,28.0339,1.6596,2/9/2020,0,
,Algeria,28.0339,1.6596,2/8/2020,0,
,Algeria,28.0339,1.6596,2/7/2020,0,
,Algeria,28.0339,1.6596,2/6/2020,0,
,Algeria,28.0339,1.6596,2/5/2020,0,
,Algeria,28.0339,1.6596,2/4/2020,0,
,Algeria,28.0339,1.6596,2/3/2020,0,
,Algeria,28.0339,1.6596,2/2/2020,0,
,Algeria,28.0339,1.6596,2/1/2020,0,
,Algeria,28.0339,1.6596,1/31/2020,0,
,Algeria,28.0339,1.6596,1/30/2020,0,
,Algeria,28.0339,1.6596,1/29/2020,0,
,Algeria,28.0339,1.6596,1/28/2020,0,
,Algeria,28.0339,1.6596,1/27/2020,0,
,Algeria,28.0339,1.6596,1/26/2020,0,
,Algeria,28.0339,1.6596,1/25/2020,0,
,Algeria,28.0339,1.6596,1/24/2020,0,
,Algeria,28.0339,1.6596,1/23/2020,0,
,Algeria,28.0339,1.6596,1/22/2020,0,
,Andorra,42.5063,1.5218,3/24/2020,164,
,Andorra,42.5063,1.5218,3/23/2020,133,
,Andorra,42.5063,1.5218,3/22/2020,113,
,Andorra,42.5063,1.5218,3/21/2020,88,
,Andorra,42.5063,1.5218,3/20/2020,75,
,Andorra,42.5063,1.5218,3/19/2020,53,
,Andorra,42.5063,1.5218,3/18/2020,39,
,Andorra,42.5063,1.5218,3/17/2020,39,
,Andorra,42.5063,1.5218,3/16/2020,2,
,Andorra,42.5063,1.5218,3/15/2020,1,
,Andorra,42.5063,1.5218,3/14/2020,1,
,Andorra,42.5063,1.5218,3/13/2020,1,
,Andorra,42.5063,1.5218,3/12/2020,1,
,Andorra,42.5063,1.5218,3/11/2020,1,
,Andorra,42.5063,1.5218,3/10/2020,1,
,Andorra,42.5063,1.5218,3/9/2020,1,
,Andorra,42.5063,1.5218,3/8/2020,1,
,Andorra,42.5063,1.5218,3/7/2020,1,
,Andorra,42.5063,1.5218,3/6/2020,1,
,Andorra,42.5063,1.5218,3/5/2020,1,
,Andorra,42.5063,1.5218,3/4/2020,1,
,Andorra,42.5063,1.5218,3/3/2020,1,
,Andorra,42.5063,1.5218,3/2/2020,1,
,Andorra,42.5063,1.5218,3/1/2020,0,
,Andorra,42.5063,1.5218,2/29/2020,0,
,Andorra,42.5063,1.5218,2/28/2020,0,
,Andorra,42.5063,1.5218,2/27/2020,0,
,Andorra,42.5063,1.5218,2/26/2020,0,
,Andorra,42.5063,1.5218,2/25/2020,0,
,Andorra,42.5063,1.5218,2/24/2020,0,
,Andorra,42.5063,1.5218,2/23/2020,0,
,Andorra,42.5063,1.5218,2/22/2020,0,
,Andorra,42.5063,1.5218,2/21/2020,0,
,Andorra,42.5063,1.5218,2/20/2020,0,
,Andorra,42.5063,1.5218,2/19/2020,0,
,Andorra,42.5063,1.5218,2/18/2020,0,
,Andorra,42.5063,1.5218,2/17/2020,0,
,Andorra,42.5063,1.5218,2/16/2020,0,
,Andorra,42.5063,1.5218,2/15/2020,0,
,Andorra,42.5063,1.5218,2/14/2020,0,
,Andorra,42.5063,1.5218,2/13/2020,0,
,Andorra,42.5063,1.5218,2/12/2020,0,
,Andorra,42.5063,1.5218,2/11/2020,0,
,Andorra,42.5063,1.5218,2/10/2020,0,
,Andorra,42.5063,1.5218,2/9/2020,0,
,Andorra,42.5063,1.5218,2/8/2020,0,
,Andorra,42.5063,1.5218,2/7/2020,0,
,Andorra,42.5063,1.5218,2/6/2020,0,
,Andorra,42.5063,1.5218,2/5/2020,0,
,Andorra,42.5063,1.5218,2/4/2020,0,
,Andorra,42.5063,1.5218,2/3/2020,0,
,Andorra,42.5063,1.5218,2/2/2020,0,
,Andorra,42.5063,1.5218,2/1/2020,0,
,Andorra,42.5063,1.5218,1/31/2020,0,
,Andorra,42.5063,1.5218,1/30/2020,0,
,Andorra,42.5063,1.5218,1/29/2020,0,
,Andorra,42.5063,1.5218,1/28/2020,0,
,Andorra,42.5063,1.5218,1/27/2020,0,
,Andorra,42.5063,1.5218,1/26/2020,0,
,Andorra,42.5063,1.5218,1/25/2020,0,
,Andorra,42.5063,1.5218,1/24/2020,0,
,Andorra,42.5063,1.5218,1/23/2020,0,
,Andorra,42.5063,1.5218,1/22/2020,0,
,Angola,-11.2027,17.8739,3/24/2020,3,
,Angola,-11.2027,17.8739,3/23/2020,3,
,Angola,-11.2027,17.8739,3/22/2020,2,
,Angola,-11.2027,17.8739,3/21/2020,2,
,Angola,-11.2027,17.8739,3/20/2020,1,
,Angola,-11.2027,17.8739,3/19/2020,0,
,Angola,-11.2027,17.8739,3/18/2020,0,
,Angola,-11.2027,17.8739,3/17/2020,0,
,Angola,-11.2027,17.8739,3/16/2020,0,
,Angola,-11.2027,17.8739,3/15/2020,0,
,Angola,-11.2027,17.8739,3/14/2020,0,
,Angola,-11.2027,17.8739,3/13/2020,0,
,Angola,-11.2027,17.8739,3/12/2020,0,
,Angola,-11.2027,17.8739,3/11/2020,0,
,Angola,-11.2027,17.8739,3/10/2020,0,
,Angola,-11.2027,17.8739,3/9/2020,0,
,Angola,-11.2027,17.8739,3/8/2020,0,
,Angola,-11.2027,17.8739,3/7/2020,0,
,Angola,-11.2027,17.8739,3/6/2020,0,
,Angola,-11.2027,17.8739,3/5/2020,0,
,Angola,-11.2027,17.8739,3/4/2020,0,
,Angola,-11.2027,17.8739,3/3/2020,0,
,Angola,-11.2027,17.8739,3/2/2020,0,
,Angola,-11.2027,17.8739,3/1/2020,0,
,Angola,-11.2027,17.8739,2/29/2020,0,
,Angola,-11.2027,17.8739,2/28/2020,0,
,Angola,-11.2027,17.8739,2/27/2020,0,
,Angola,-11.2027,17.8739,2/26/2020,0,
,Angola,-11.2027,17.8739,2/25/2020,0,
,Angola,-11.2027,17.8739,2/24/2020,0,
,Angola,-11.2027,17.8739,2/23/2020,0,
,Angola,-11.2027,17.8739,2/22/2020,0,
,Angola,-11.2027,17.8739,2/21/2020,0,
,Angola,-11.2027,17.8739,2/20/2020,0,
,Angola,-11.2027,17.8739,2/19/2020,0,
,Angola,-11.2027,17.8739,2/18/2020,0,
,Angola,-11.2027,17.8739,2/17/2020,0,
,Angola,-11.2027,17.8739,2/16/2020,0,
,Angola,-11.2027,17.8739,2/15/2020,0,
,Angola,-11.2027,17.8739,2/14/2020,0,
,Angola,-11.2027,17.8739,2/13/2020,0,
,Angola,-11.2027,17.8739,2/12/2020,0,
,Angola,-11.2027,17.8739,2/11/2020,0,
,Angola,-11.2027,17.8739,2/10/2020,0,
,Angola,-11.2027,17.8739,2/9/2020,0,
,Angola,-11.2027,17.8739,2/8/2020,0,
,Angola,-11.2027,17.8739,2/7/2020,0,
,Angola,-11.2027,17.8739,2/6/2020,0,
,Angola,-11.2027,17.8739,2/5/2020,0,
,Angola,-11.2027,17.8739,2/4/2020,0,
,Angola,-11.2027,17.8739,2/3/2020,0,
,Angola,-11.2027,17.8739,2/2/2020,0,
,Angola,-11.2027,17.8739,2/1/2020,0,
,Angola,-11.2027,17.8739,1/31/2020,0,
,Angola,-11.2027,17.8739,1/30/2020,0,
,Angola,-11.2027,17.8739,1/29/2020,0,
,Angola,-11.2027,17.8739,1/28/2020,0,
,Angola,-11.2027,17.8739,1/27/2020,0,
,Angola,-11.2027,17.8739,1/26/2020,0,
,Angola,-11.2027,17.8739,1/25/2020,0,
,Angola,-11.2027,17.8739,1/24/2020,0,
,Angola,-11.2027,17.8739,1/23/2020,0,
,Angola,-11.2027,17.8739,1/22/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/24/2020,3,
,Antigua and Barbuda,17.0608,-61.7964,3/23/2020,3,
,Antigua and Barbuda,17.0608,-61.7964,3/22/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/21/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/20/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/19/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/18/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/17/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/16/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/15/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/14/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/13/2020,1,
,Antigua and Barbuda,17.0608,-61.7964,3/12/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/11/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/10/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/9/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/8/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/7/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/6/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/5/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/4/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/3/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/2/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,3/1/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/29/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/28/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/27/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/26/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/25/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/24/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/23/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/22/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/21/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/20/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/19/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/18/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/17/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/16/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/15/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/14/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/13/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/12/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/11/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/10/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/9/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/8/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/7/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/6/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/5/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/4/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/3/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/2/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,2/1/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/31/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/30/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/29/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/28/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/27/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/26/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/25/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/24/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/23/2020,0,
,Antigua and Barbuda,17.0608,-61.7964,1/22/2020,0,
,Argentina,-38.4161,-63.6167,3/24/2020,387,
,Argentina,-38.4161,-63.6167,3/23/2020,301,
,Argentina,-38.4161,-63.6167,3/22/2020,266,
,Argentina,-38.4161,-63.6167,3/21/2020,158,
,Argentina,-38.4161,-63.6167,3/20/2020,128,
,Argentina,-38.4161,-63.6167,3/19/2020,97,
,Argentina,-38.4161,-63.6167,3/18/2020,79,
,Argentina,-38.4161,-63.6167,3/17/2020,68,
,Argentina,-38.4161,-63.6167,3/16/2020,56,
,Argentina,-38.4161,-63.6167,3/15/2020,45,
,Argentina,-38.4161,-63.6167,3/14/2020,34,
,Argentina,-38.4161,-63.6167,3/13/2020,31,
,Argentina,-38.4161,-63.6167,3/12/2020,19,
,Argentina,-38.4161,-63.6167,3/11/2020,19,
,Argentina,-38.4161,-63.6167,3/10/2020,17,
,Argentina,-38.4161,-63.6167,3/9/2020,12,
,Argentina,-38.4161,-63.6167,3/8/2020,12,
,Argentina,-38.4161,-63.6167,3/7/2020,8,
,Argentina,-38.4161,-63.6167,3/6/2020,2,
,Argentina,-38.4161,-63.6167,3/5/2020,1,
,Argentina,-38.4161,-63.6167,3/4/2020,1,
,Argentina,-38.4161,-63.6167,3/3/2020,1,
,Argentina,-38.4161,-63.6167,3/2/2020,0,
,Argentina,-38.4161,-63.6167,3/1/2020,0,
,Argentina,-38.4161,-63.6167,2/29/2020,0,
,Argentina,-38.4161,-63.6167,2/28/2020,0,
,Argentina,-38.4161,-63.6167,2/27/2020,0,
,Argentina,-38.4161,-63.6167,2/26/2020,0,
,Argentina,-38.4161,-63.6167,2/25/2020,0,
,Argentina,-38.4161,-63.6167,2/24/2020,0,
,Argentina,-38.4161,-63.6167,2/23/2020,0,
,Argentina,-38.4161,-63.6167,2/22/2020,0,
,Argentina,-38.4161,-63.6167,2/21/2020,0,
,Argentina,-38.4161,-63.6167,2/20/2020,0,
,Argentina,-38.4161,-63.6167,2/19/2020,0,
,Argentina,-38.4161,-63.6167,2/18/2020,0,
,Argentina,-38.4161,-63.6167,2/17/2020,0,
,Argentina,-38.4161,-63.6167,2/16/2020,0,
,Argentina,-38.4161,-63.6167,2/15/2020,0,
,Argentina,-38.4161,-63.6167,2/14/2020,0,
,Argentina,-38.4161,-63.6167,2/13/2020,0,
,Argentina,-38.4161,-63.6167,2/12/2020,0,
,Argentina,-38.4161,-63.6167,2/11/2020,0,
,Argentina,-38.4161,-63.6167,2/10/2020,0,
,Argentina,-38.4161,-63.6167,2/9/2020,0,
,Argentina,-38.4161,-63.6167,2/8/2020,0,
,Argentina,-38.4161,-63.6167,2/7/2020,0,
,Argentina,-38.4161,-63.6167,2/6/2020,0,
,Argentina,-38.4161,-63.6167,2/5/2020,0,
,Argentina,-38.4161,-63.6167,2/4/2020,0,
,Argentina,-38.4161,-63.6167,2/3/2020,0,
,Argentina,-38.4161,-63.6167,2/2/2020,0,
,Argentina,-38.4161,-63.6167,2/1/2020,0,
,Argentina,-38.4161,-63.6167,1/31/2020,0,
,Argentina,-38.4161,-63.6167,1/30/2020,0,
,Argentina,-38.4161,-63.6167,1/29/2020,0,
,Argentina,-38.4161,-63.6167,1/28/2020,0,
,Argentina,-38.4161,-63.6167,1/27/2020,0,
,Argentina,-38.4161,-63.6167,1/26/2020,0,
,Argentina,-38.4161,-63.6167,1/25/2020,0,
,Argentina,-38.4161,-63.6167,1/24/2020,0,
,Argentina,-38.4161,-63.6167,1/23/2020,0,
,Argentina,-38.4161,-63.6167,1/22/2020,0,
,Armenia,40.0691,45.0382,3/24/2020,249,
,Armenia,40.0691,45.0382,3/23/2020,235,
,Armenia,40.0691,45.0382,3/22/2020,194,
,Armenia,40.0691,45.0382,3/21/2020,160,
,Armenia,40.0691,45.0382,3/20/2020,136,
,Armenia,40.0691,45.0382,3/19/2020,115,
,Armenia,40.0691,45.0382,3/18/2020,84,
,Armenia,40.0691,45.0382,3/17/2020,78,
,Armenia,40.0691,45.0382,3/16/2020,52,
,Armenia,40.0691,45.0382,3/15/2020,26,
,Armenia,40.0691,45.0382,3/14/2020,18,
,Armenia,40.0691,45.0382,3/13/2020,8,
,Armenia,40.0691,45.0382,3/12/2020,4,
,Armenia,40.0691,45.0382,3/11/2020,1,
,Armenia,40.0691,45.0382,3/10/2020,1,
,Armenia,40.0691,45.0382,3/9/2020,1,
,Armenia,40.0691,45.0382,3/8/2020,1,
,Armenia,40.0691,45.0382,3/7/2020,1,
,Armenia,40.0691,45.0382,3/6/2020,1,
,Armenia,40.0691,45.0382,3/5/2020,1,
,Armenia,40.0691,45.0382,3/4/2020,1,
,Armenia,40.0691,45.0382,3/3/2020,1,
,Armenia,40.0691,45.0382,3/2/2020,1,
,Armenia,40.0691,45.0382,3/1/2020,1,
,Armenia,40.0691,45.0382,2/29/2020,0,
,Armenia,40.0691,45.0382,2/28/2020,0,
,Armenia,40.0691,45.0382,2/27/2020,0,
,Armenia,40.0691,45.0382,2/26/2020,0,
,Armenia,40.0691,45.0382,2/25/2020,0,
,Armenia,40.0691,45.0382,2/24/2020,0,
,Armenia,40.0691,45.0382,2/23/2020,0,
,Armenia,40.0691,45.0382,2/22/2020,0,
,Armenia,40.0691,45.0382,2/21/2020,0,
,Armenia,40.0691,45.0382,2/20/2020,0,
,Armenia,40.0691,45.0382,2/19/2020,0,
,Armenia,40.0691,45.0382,2/18/2020,0,
,Armenia,40.0691,45.0382,2/17/2020,0,
,Armenia,40.0691,45.0382,2/16/2020,0,
,Armenia,40.0691,45.0382,2/15/2020,0,
,Armenia,40.0691,45.0382,2/14/2020,0,
,Armenia,40.0691,45.0382,2/13/2020,0,
,Armenia,40.0691,45.0382,2/12/2020,0,
,Armenia,40.0691,45.0382,2/11/2020,0,
,Armenia,40.0691,45.0382,2/10/2020,0,
,Armenia,40.0691,45.0382,2/9/2020,0,
,Armenia,40.0691,45.0382,2/8/2020,0,
,Armenia,40.0691,45.0382,2/7/2020,0,
,Armenia,40.0691,45.0382,2/6/2020,0,
,Armenia,40.0691,45.0382,2/5/2020,0,
,Armenia,40.0691,45.0382,2/4/2020,0,
,Armenia,40.0691,45.0382,2/3/2020,0,
,Armenia,40.0691,45.0382,2/2/2020,0,
,Armenia,40.0691,45.0382,2/1/2020,0,
,Armenia,40.0691,45.0382,1/31/2020,0,
,Armenia,40.0691,45.0382,1/30/2020,0,
,Armenia,40.0691,45.0382,1/29/2020,0,
,Armenia,40.0691,45.0382,1/28/2020,0,
,Armenia,40.0691,45.0382,1/27/2020,0,
,Armenia,40.0691,45.0382,1/26/2020,0,
,Armenia,40.0691,45.0382,1/25/2020,0,
,Armenia,40.0691,45.0382,1/24/2020,0,
,Armenia,40.0691,45.0382,1/23/2020,0,
,Armenia,40.0691,45.0382,1/22/2020,0,
Australian Capital Territory,Australia,-35.4735,149.0124,3/24/2020,39,
Australian Capital Territory,Australia,-35.4735,149.0124,3/23/2020,32,
Australian Capital Territory,Australia,-35.4735,149.0124,3/22/2020,19,
Australian Capital Territory,Australia,-35.4735,149.0124,3/21/2020,9,
Australian Capital Territory,Australia,-35.4735,149.0124,3/20/2020,6,
Australian Capital Territory,Australia,-35.4735,149.0124,3/19/2020,4,
Australian Capital Territory,Australia,-35.4735,149.0124,3/18/2020,3,
Australian Capital Territory,Australia,-35.4735,149.0124,3/17/2020,2,
Australian Capital Territory,Australia,-35.4735,149.0124,3/16/2020,2,
Australian Capital Territory,Australia,-35.4735,149.0124,3/15/2020,1,
Australian Capital Territory,Australia,-35.4735,149.0124,3/14/2020,1,
Australian Capital Territory,Australia,-35.4735,149.0124,3/13/2020,1,
Australian Capital Territory,Australia,-35.4735,149.0124,3/12/2020,0,
Australian Capital Territory,Australia,-35.4735,149.0124,3/11/2020,0,
Australian Capital Territory,Australia,-35.4735,149.0124,3/10/2020,0,
Australian Capital Territory,Australia,-35.4735,149.0124,3/9/2020,0,
